Nama;Gender;Bahasa;Inggris;TIK;Matematika;Fisika;Kimia;Biologi;Geografi;Sosiologi;Antropologi;Extra_Kurikuler;Tinggal_Dengan;Status_Kerja;Biaya;Tgl_Daftar_Kuliah;Alamat;UKM;Organisasi_Kampus;Lama_Kuliah;Fakultas
Mark Swan;Wanita;76,8;79;62,8;62,9;69,3;72,1;69,6;85,6;83;63,1;Ekskul_1;Kos;Belum;Orang Tua;2008;Karawang;UKM_3;Ya;4;FISIP
Mark Thatcher;Pria;62,4;71,1;80,5;80,5;73;84,6;85,3;70,6;81,6;67,7;Ekskul_3;Orang Tua;Belum;Orang Tua;2008;Bogor;UKM_1;Tidak;3,5;FISIP
Mark Walter;Pria;80,2;68;85,3;60,5;61,6;87,4;86,3;60,4;75,7;67,3;Ekskul_1;Kos;Bekerja;NA;2008;Serang;UKM_2;Tidak;4;DKV
Mark Waterson;Pria;76,4;66,6;70,2;64,2;72,3;75,3;71,1;63,1;NA;67,6;Ekskul_2;Orang Tua;Bekerja;NA;2007;Serang;Tidak;Ya;5;FIKOM
Mark Whinter;Wanita;84,2;84,2;67;75,6;65,8;65,2;71,3;85,3;69,8;80,7;Ekskul_6;Kos;Bekerja;NA;2007;Tangerang;Tidak;Ya;5,5;DKV
Mark Wild;Pria;70,7;61,1;75,4;67,6;82,9;85,3;83,4;62,1;77,2;74,7;Tidak;NA;Bekerja;Orang Tua;2009;Serang;UKM_3;Tidak;6;FIKOM
Mark Wilson;Pria;64,4;62,3;82,1;80,7;80,5;60,8;67,1;79,4;71,5;79,4;Ekskul_1;Kos;Belum;Beasiswa;2008;Bogor;UKM_4;Tidak;7;FISIP
Mark Wright;Wanita;87,9;85,7;76,1;69;88,1;79,4;60,2;62,8;78,1;86,5;Ekskul_4;NA;Bekerja;NA;2009;Tangerang;UKM_3;Tidak;6,5;FT
Mark York;Wanita;69,5;77,8;77,9;83,4;71,9;74;70,8;76;NA;71,7;Ekskul_5;NA;Bekerja;NA;2008;Serang;UKM_3;Ya;3,5;FTI
Marla Barclay;Pria;73,4;62,1;65,1;82,4;78,6;81;88,5;79,1;83,5;83,4;Ekskul_3;Orang Tua;Belum;Beasiswa;2008;Tangerang;UKM_1;Ya;4;FIKOM
Marla Collins;Pria;82;75;70,6;60,5;65,5;69,2;77,8;73,5;85,2;68,7;Tidak;NA;Bekerja;Beasiswa;2007;Serang;UKM_3;Ya;6,5;FTI
Marla Davies;Pria;69,5;77,1;86,5;71,4;86,9;67,8;64,1;60,4;69,6;75,8;Tidak;NA;Belum;NA;2009;Tangerang;UKM_4;Ya;7;FISIP
Marla Glynn;Wanita;82,3;87,2;76,4;78,1;75,1;82,1;60,6;68,7;87,4;71,7;Ekskul_4;NA;Bekerja;Beasiswa;2009;Karawang;UKM_3;Tidak;4,5;FT
Marla Hood;Pria;64,4;68,3;80,4;78,4;64,7;77,6;84,9;66,5;70,3;71,2;Tidak;Kos;Belum;Orang Tua;2007;Tangerang;UKM_4;Ya;4;DKV
Marla Kent;Pria;67,4;62,7;66;67,8;60,5;85;70,4;73;72,1;87,4;Ekskul_5;Orang Tua;Belum;NA;2008;Jakarta;UKM_1;Ya;5;FTI
Marla Mccormick;Pria;63,4;64,6;77,3;63,3;79,3;71;77,1;70,6;78;69,2;Ekskul_4;NA;Bekerja;Beasiswa;2009;Tangerang;UKM_2;Tidak;6,5;FTI
Marla Potter;Wanita;70,2;77,8;85,4;83,4;86,2;70,4;70,3;77,4;61,8;65,4;Ekskul_2;NA;Bekerja;Beasiswa;2009;Serang;UKM_2;Tidak;5;FTI
Marla Rees;Wanita;73,6;70,5;88;70;79,2;78,2;64;82;87,3;71,4;Ekskul_1;NA;Belum;Beasiswa;2008;Serang;UKM_4;Tidak;6,5;FTI
Marla Rothwell;Wanita;86,9;71,4;74,5;68,1;70,9;80,5;60,4;62,1;77,2;75,8;Tidak;Orang Tua;Bekerja;Beasiswa;2008;Jakarta;UKM_1;Tidak;6,5;FTI
Marla Walker;Pria;72,6;82,6;84,7;77,1;62,9;78;76;61,6;70,1;61,4;Ekskul_1;NA;Bekerja;Orang Tua;2007;Karawang;UKM_4;Ya;6;FIKOM
Martha Cavanagh;Wanita;80,7;61,7;72,1;87,6;88,5;68,6;86,7;73,3;84,1;82,8;Ekskul_2;NA;Belum;Orang Tua;2009;Karawang;UKM_4;Ya;7;FIKOM
Martha Clarkson;Wanita;71,2;76,4;86,5;68,3;63,7;72;65,6;66,5;80,1;71,4;Ekskul_3;NA;Belum;Orang Tua;2009;Jakarta;UKM_1;Ya;6;FISIP
Martha Faulkner;Pria;64,5;84,7;Na;75,7;72,7;85,1;63,4;80,9;68,6;62,4;Ekskul_5;Kos;Belum;Beasiswa;2007;Jakarta;UKM_1;Tidak;3,5;FT
Martha Grady;Wanita;74;71,6;66,4;64,9;70,5;61,9;66;65;77,7;62,7;Ekskul_4;NA;Bekerja;Beasiswa;2008;Bogor;UKM_3;Tidak;3,5;FT
Martha Heaton;Pria;85,6;80,7;81,6;75,2;72,1;82,4;82,3;74,4;76,8;85,7;Ekskul_6;NA;Belum;Orang Tua;2008;Jakarta;UKM_2;Ya;6;FIKOM
Martha James;Wanita;88,5;77,7;64,8;70,7;78,6;70,4;70,7;77,3;88;80,1;Ekskul_6;NA;Bekerja;Orang Tua;2007;Bekasi;UKM_2;Tidak;6;DKV
Martha Lewis;Wanita;84,6;66,4;65,7;81,7;61,6;69,1;78,9;81,2;79;87,9;Ekskul_2;Orang Tua;Bekerja;Orang Tua;2009;Serang;Tidak;Ya;4,5;FT
Martha Pond;Pria;73,4;82,6;80,4;66,6;77,9;69,9;86,8;70,9;67,4;86,7;Ekskul_3;Kos;Belum;Orang Tua;2009;Jakarta;UKM_2;Tidak;6;DKV
Martha Price;Wanita;61,3;81,1;69,6;72,3;72,1;62;70;67,3;80,9;87,3;Ekskul_4;Orang Tua;Bekerja;NA;2008;Karawang;Tidak;Ya;4,5;DKV
Martha Russell;Wanita;73,5;63,2;81,1;86,2;84,2;86,6;74,8;68,5;86,7;87,9;Ekskul_2;NA;Belum;NA;2008;Jakarta;UKM_4;Tidak;7;FTI
Martha Sherwood;Wanita;73;74,7;NA;73,6;67,2;73,3;77;86;64,9;75,8;Ekskul_1;NA;Belum;Orang Tua;2009;Bekasi;Tidak;Tidak;6,5;FT
Martha Stevenson;Wanita;84,5;70;81,9;60,6;64;75,3;60,7;61,5;72,5;82,9;Ekskul_1;Orang Tua;Belum;Orang Tua;2009;Bekasi;UKM_2;Tidak;3,5;FISIP
Martha Taylor;Pria;80,5;83,6;77,4;70,1;83,7;73,7;75,2;84,8;85,5;86,9;Ekskul_4;NA;Bekerja;Beasiswa;2009;Bekasi;UKM_3;Tidak;6,5;FISIP
Martha Watson;Wanita;67,8;70,2;88,1;69,9;63,5;73,4;88;87,2;62;69,1;Ekskul_2;Kos;Bekerja;NA;2008;Tangerang;Tidak;Tidak;6;FISIP
Martin Abbey;Pria;76,7;78,1;84,7;61,9;62,1;75,3;72,5;74,5;61,1;77,7;Ekskul_6;NA;Belum;Beasiswa;2009;Serang;UKM_4;Tidak;6;FISIP
Martin Allen;Pria;87,6;68,6;79;70,9;65,6;79,1;79;84,5;69,2;73,8;Tidak;Kos;Belum;Beasiswa;2009;Serang;UKM_1;Tidak;4;FISIP
Martin Barclay;Pria;61,1;80,8;78,9;81,6;73,8;78,7;86,8;65,8;NA;79,4;Ekskul_5;Orang Tua;Bekerja;Beasiswa;2007;Bogor;UKM_4;Ya;7;FT
Martin Barrett;Wanita;78,2;68,3;61,4;81,7;82,6;78,3;80,8;72;68,7;61,6;Ekskul_2;Kos;Bekerja;Orang Tua;2009;Jakarta;UKM_4;Ya;7;FISIP
Martin Baxter;Pria;78,5;82,6;82,1;80,9;77;70,3;60,3;81,1;83,2;66,1;Ekskul_6;Kos;Belum;NA;2009;Tangerang;UKM_1;Tidak;4;FT
Martin Bayliss;Pria;61,3;65,2;61,3;61,6;79;70,1;70,1;68,4;88,3;70,9;Ekskul_6;Orang Tua;Belum;NA;2007;Tangerang;UKM_3;Ya;7;FT
Martin Booth;Pria;68,6;72,6;81,2;62,3;84,4;60,5;65,6;87,6;66,8;80,7;Ekskul_6;NA;Belum;Orang Tua;2008;Jakarta;UKM_3;Tidak;7;FIKOM
Martin Clark;Wanita;62,2;67;77,6;86,9;63,2;74,5;75,8;63,5;73,9;62,8;Ekskul_5;NA;Bekerja;Beasiswa;2007;Serang;UKM_3;Ya;7;FTI
Martin Coll;Wanita;67,9;64,7;63,6;64,3;86,2;73,9;78,3;60,3;70,6;78,2;Ekskul_4;NA;Bekerja;Beasiswa;2009;Bogor;UKM_1;Tidak;7;FTI
Martin Craig;Pria;82,6;87,8;86,4;68,8;83,9;60,7;66,8;85,7;77,9;78,9;Ekskul_3;NA;Bekerja;Beasiswa;2009;Karawang;UKM_2;Ya;5,5;FISIP
Martin Darcy;Wanita;65;69,4;70,8;72;80,5;71,4;74,8;83,2;65,7;71,5;Ekskul_1;NA;Belum;Orang Tua;2008;Bogor;UKM_3;Ya;4,5;FT
Martin Dickson;Pria;80,5;74,7;75,2;71,4;81,4;71,1;68,2;75,1;62,7;83,1;Ekskul_4;Orang Tua;Bekerja;Orang Tua;2008;Bekasi;UKM_1;Ya;7;DKV
Martin Dixon;Pria;79,5;87,3;79,4;81,4;78,2;63,9;86,6;77,1;86,5;65,5;Ekskul_6;Kos;Bekerja;Orang Tua;2007;Tangerang;UKM_4;Ya;6,5;FISIP
Martin Dunbar;Pria;70,5;83;60,9;62;76;74,5;61,5;76,8;NA;66,7;Tidak;NA;Bekerja;NA;2007;Bekasi;UKM_3;Ya;5;FT
Martin Ebden;Pria;66,3;77,1;NA;60,6;84,2;63,9;85,3;71,1;86,2;72,1;Ekskul_1;Kos;Belum;Beasiswa;2009;Karawang;Tidak;Ya;4;FTI
Martin Emerson;Wanita;60,7;67,8;76,3;79,2;74,1;60,3;79,4;79,1;84,4;76,5;Ekskul_1;Kos;Belum;NA;2008;Jakarta;UKM_2;Ya;5;FTI
Martin Evans;Wanita;77,5;66,7;71,7;68,4;80,7;87,2;82,3;63;68,7;76,8;Ekskul_6;NA;Belum;NA;2009;Tangerang;UKM_1;Tidak;6,5;FISIP
Martin Fenton;Pria;64,7;67,2;62,9;66,4;80,6;60,5;79,4;67,5;63,2;86,9;Ekskul_3;Kos;Bekerja;Orang Tua;2008;Bogor;UKM_2;Tidak;5,5;FT
Martin Giles;Wanita;62,7;87,6;60,6;76,7;68,6;75,1;72,9;69,5;81,3;80,4;Tidak;Orang Tua;Belum;Orang Tua;2007;Bekasi;UKM_2;Tidak;6,5;DKV
Martin Gilmore;Wanita;79,1;75;73,5;70,7;79,6;84,7;70,4;81,8;70,5;61;Ekskul_5;Kos;Bekerja;Orang Tua;2008;Tangerang;UKM_3;Ya;4;DKV
Martin Gonzales;Wanita;76,4;76,6;73,3;67,9;61;73,2;63,3;63,8;71,3;68,3;Tidak;NA;Belum;Beasiswa;2007;Karawang;UKM_1;Ya;4,5;FT
Martin Grant;Wanita;73,2;60,2;72;85,4;70,5;72,4;88,6;79,2;NA;NA;Ekskul_2;Kos;Belum;NA;2007;Jakarta;Tidak;Ya;5,5;DKV
Martin Griffiths;Wanita;76;61,7;71,2;61,4;86,3;67,7;71,9;84,8;65,3;72,9;Ekskul_6;Kos;Bekerja;NA;2008;Bekasi;Tidak;Tidak;3,5;FIKOM
Martin Haines;Wanita;67,4;79,5;77,2;83,2;60,8;81,6;62,4;60,4;77,2;85,5;Tidak;NA;Belum;NA;2007;Serang;UKM_3;Tidak;4;FTI
Martin Hale;Pria;79,5;85,2;81,4;79,5;84,8;60,6;65,3;64,6;64;83,6;Ekskul_1;NA;Belum;Beasiswa;2007;Tangerang;UKM_2;Tidak;6;FTI
Martin Hall;Pria;62,4;67,5;74,2;83,7;85,8;70,8;65,5;79,4;83,6;74,4;Ekskul_5;Kos;Belum;NA;2007;Bekasi;UKM_1;Tidak;4;FT
Martin Irwin;Wanita;61;67,6;68,8;66,9;67,8;75,5;86,1;67,5;72,5;NA;Ekskul_4;Orang Tua;Bekerja;NA;2009;Karawang;UKM_2;Ya;6;FISIP
Martin Knight;Pria;63,5;70,8;70,3;74,4;60,6;70,3;64,4;63,8;73,9;88,4;Ekskul_5;Kos;Belum;NA;2009;Karawang;UKM_1;Tidak;5,5;DKV
Martin Long;Pria;85,8;82,3;75,1;69,9;80,7;88,5;69,1;75,7;78,3;NA;Ekskul_1;Orang Tua;Belum;Orang Tua;2008;Bekasi;UKM_4;Ya;4,5;FISIP
Martin Mason;Wanita;82,2;71,1;81,5;76,5;76,1;67,1;85,7;64,2;60,1;61,3;Ekskul_5;NA;Belum;Beasiswa;2007;Tangerang;UKM_2;Ya;6;DKV
Martin Mccormick;Wanita;78;75,2;80,5;76,4;79,1;77,9;65,8;87;68,3;73,7;Ekskul_3;Orang Tua;Bekerja;NA;2007;Bogor;UKM_3;Tidak;6;DKV
Martin Miller;Pria;66;78,4;79,8;60,5;77,2;86,2;72,1;75,7;61,8;77,4;Ekskul_6;Kos;Belum;Beasiswa;2009;Jakarta;UKM_1;Ya;4,5;DKV
Martin Moran;Wanita;75,8;70,2;74,3;81,3;66,9;67,5;70,5;87,1;75,9;69,1;Ekskul_1;Kos;Belum;NA;2009;Tangerang;UKM_2;Tidak;5,5;DKV
Martin Overson;Wanita;81;69,3;85,5;75;70;67,3;75,7;75,2;77,5;69,1;Ekskul_3;NA;Belum;Beasiswa;2007;Bogor;Tidak;Ya;6;FIKOM
Martin Owen;Wanita;65,4;72,8;76,9;83;70,8;67,7;66,2;79,9;77,7;71,1;Ekskul_6;NA;Bekerja;NA;2007;Tangerang;Tidak;Ya;6,5;DKV
Martin Parker;Wanita;66,7;82,7;71,1;82,8;88;80;72,8;79,2;68,1;85,6;Ekskul_1;Kos;Bekerja;NA;2007;Jakarta;Tidak;Ya;7;FISIP
Martin Patel;Wanita;78,5;66,3;73,2;81,1;80,7;61;83,6;75,7;67,4;85,8;Ekskul_2;Kos;Bekerja;Orang Tua;2009;Jakarta;UKM_1;Tidak;6;FISIP
Martin Pond;Pria;73,6;82,9;80,8;83,3;63,2;73,7;87,6;68;67;87,4;Ekskul_6;NA;Belum;NA;2007;Tangerang;Tidak;Ya;3,5;FTI
Martin Powell;Wanita;84,5;83,2;70,6;63,4;73,6;86,1;75,6;69,5;84,7;72,6;Ekskul_3;Kos;Belum;Orang Tua;2008;Bekasi;UKM_4;Tidak;6;FISIP
Martin Reid;Wanita;86,4;84,6;80;60,6;66,6;76,2;62,4;74;63,7;60,6;Ekskul_5;Orang Tua;Bekerja;Orang Tua;2007;Jakarta;Tidak;Ya;5,5;FTI
Martin Richards;Wanita;65;67,1;82,4;68,7;71,4;86,8;71,5;76,5;74;73;Ekskul_2;Orang Tua;Belum;Orang Tua;2009;Bogor;UKM_3;Ya;4,5;FT
Martin Richardson;Pria;76,7;75,3;77,3;79,9;69,1;66,6;74,4;67,8;81,7;63,7;Ekskul_2;NA;Bekerja;Beasiswa;2008;Karawang;UKM_1;Tidak;5,5;FTI
Martin Robinson;Wanita;64,8;68,1;66,1;84,9;76,3;64,1;87,3;64,6;67,8;84,6;Ekskul_3;Kos;Belum;Beasiswa;2008;Jakarta;UKM_2;Tidak;5,5;DKV
Martin Rodgers;Wanita;88,1;62;73,4;77,6;84,1;83,4;76,2;79,5;64,2;85,1;Ekskul_6;Orang Tua;Bekerja;NA;2009;Bogor;UKM_3;Tidak;4;FIKOM
Martin Rosenbloom;Pria;80,6;85,1;85,3;80,6;78,3;74;70,8;61,4;79,6;76,2;Ekskul_5;NA;Belum;Beasiswa;2007;Jakarta;Tidak;Tidak;5;FISIP
Martin Russell;Pria;71,5;88,2;67,5;71,7;72,5;68,2;78,6;66,8;66,5;74,1;Ekskul_6;Kos;Belum;NA;2009;Bogor;UKM_4;Tidak;4;DKV
Martin Santos;Wanita;84;83,3;62,1;81,7;69,7;77,4;66;79,4;87,4;76,1;Ekskul_1;Orang Tua;Bekerja;Orang Tua;2009;Bekasi;UKM_4;Tidak;6;FTI
Martin Shaw;Wanita;88,5;60,9;63,7;71,9;62,4;81,3;63,4;80,2;70;78,2;Tidak;Kos;Belum;NA;2007;Bogor;UKM_1;Ya;7;FTI
Martin Shepherd;Pria;60,5;88,3;88,5;78,6;68,8;64,2;75,9;63,1;73,2;79,5;Ekskul_2;Orang Tua;Belum;Beasiswa;2009;Bogor;Tidak;Ya;6,5;FIKOM
Martin Shields;Pria;75,5;74;75,5;64;67,1;73,4;71,8;85,5;80,4;64,8;Ekskul_2;Kos;Bekerja;NA;2008;Karawang;UKM_3;Ya;6,5;DKV
Martin Speed;Pria;85,6;65;80,7;75,3;83,1;64,6;80,2;72,9;76,2;66;Ekskul_3;NA;Bekerja;Beasiswa;2008;Karawang;UKM_1;Tidak;7;FTI
Martin Stewart;Wanita;63,2;83,4;82,1;75,7;73,9;67,5;78,2;81,6;79,2;66,6;Ekskul_2;Orang Tua;Belum;NA;2009;Serang;UKM_2;Ya;4;FISIP
Martin Stone;Wanita;78,4;88,4;66,6;68,5;83,3;63,2;72,7;87,6;82,4;78,3;Ekskul_4;NA;Belum;Beasiswa;2009;Bekasi;Tidak;Tidak;4,5;FT
Martin Summers;Wanita;75,1;86,4;81,2;72,1;71;62,6;67,3;80,4;72;83,3;Ekskul_1;Orang Tua;Bekerja;Orang Tua;2009;Bogor;UKM_1;Tidak;3,5;DKV
Martin Tait;Pria;61,9;82,3;80;83,6;69,2;64,2;66,1;83,1;88,3;62,7;Ekskul_6;Kos;Bekerja;Beasiswa;2009;Bekasi;UKM_4;Tidak;4,5;FIKOM
Martin Taylor;Pria;67,3;83,3;71;60,4;71,5;65,5;84,8;71,6;87,3;82,8;Ekskul_5;Kos;Bekerja;Orang Tua;2009;Karawang;UKM_4;Ya;6;DKV
Martin Vallory;Pria;66,5;83,8;61,5;73,9;78,3;68,7;81,2;74,7;63,6;80,4;Ekskul_1;NA;Belum;Beasiswa;2008;Bogor;UKM_1;Tidak;6;FT
Martin Vaughn;Wanita;87,5;87,9;82,1;76,6;79,6;73,5;74,7;62,6;72,4;81,4;Ekskul_1;Kos;Belum;Beasiswa;2008;Serang;UKM_1;Ya;7;FIKOM
Martin Walsh;Pria;77,1;70,1;63,4;78,6;69,6;62,2;64,5;77,3;88,6;77,2;Ekskul_6;Kos;Belum;Beasiswa;2008;Jakarta;UKM_2;Tidak;3,5;FTI
Martin Weldon;Wanita;70;83,4;66,9;61,5;71;81;66,4;62,4;60,9;67,8;Tidak;Kos;Bekerja;Beasiswa;2009;Karawang;Tidak;Tidak;3,5;FISIP
Martin Whinter;Pria;84,1;65,1;76,4;70,7;69;84,9;83,4;71,8;66,2;64,6;Ekskul_2;NA;Belum;Orang Tua;2009;Karawang;Tidak;Tidak;5;FISIP
Martin Wills;Pria;65;67,6;70;62,6;67,2;75,6;60,7;86,2;62,2;74,8;Ekskul_5;NA;Bekerja;Orang Tua;2007;Jakarta;Tidak;Tidak;5;DKV
Martin Wilson;Pria;69,1;74,3;75,7;75,2;60,4;78,7;79,7;68;62;76,9;Tidak;NA;Bekerja;Orang Tua;2008;Serang;UKM_3;Ya;6;FTI
Martin Wise;Pria;71,4;74,1;64,7;65,2;68,1;80,4;80,5;62,1;71,9;82,9;Tidak;NA;Bekerja;Beasiswa;2007;Bogor;Tidak;Tidak;5,5;DKV
Marvin Ainsworth;Wanita;62,7;78,2;60,3;79;79,1;79,3;62,1;75,2;63,8;70,1;Ekskul_5;Orang Tua;Belum;Orang Tua;2009;Karawang;UKM_2;Ya;5;DKV
Marvin Atkinson;Pria;81,5;71,3;72,3;82,3;87,2;86,1;79,7;78,3;70,1;83,3;Ekskul_5;Kos;Bekerja;NA;2009;Jakarta;UKM_3;Tidak;5;FT
Marvin Barclay;Pria;60,3;68,1;78,7;68,7;85,7;64,2;77,9;71,4;70,2;87,6;Ekskul_1;NA;Bekerja;Orang Tua;2009;Bekasi;UKM_2;Ya;7;FIKOM
Marvin Benson;Pria;74;62,1;71,2;81,5;87,4;64,3;72,5;65,2;88,1;81;Ekskul_1;Kos;Belum;Orang Tua;2008;Bekasi;UKM_4;Ya;5,5;FT
Marvin Blackburn;Wanita;63,3;77,2;68,7;88,4;87,8;78,9;82,8;79,8;84,5;69,6;Ekskul_4;Kos;Bekerja;NA;2007;Serang;UKM_1;Ya;5;FISIP
Marvin Booth;Wanita;68,2;74,6;78;69,3;80,5;64,4;76;69,8;68,5;65,1;Tidak;Orang Tua;Belum;Orang Tua;2008;Tangerang;UKM_1;Tidak;3,5;FISIP
Marvin Bowen;Wanita;83,5;86,6;73,4;74,8;83,9;70,1;74,9;79,2;73,4;87,8;Ekskul_2;NA;Bekerja;NA;2008;Bogor;UKM_3;Ya;7;FISIP
Marvin Brock;Pria;81,7;61,5;75,6;64;65,4;84,6;86,8;71,1;72,7;76,4;Ekskul_6;Orang Tua;Bekerja;NA;2009;Jakarta;UKM_1;Tidak;7;DKV
Marvin Collis;Pria;84,1;74,4;72,2;82,5;61,7;62,9;73,6;80,2;NA;68,3;Ekskul_6;NA;Belum;Orang Tua;2007;Serang;UKM_3;Tidak;4;FIKOM
Marvin Cox;Wanita;71,3;77,1;65,4;65,4;76,2;64,2;86,1;61,2;73,1;NA;Ekskul_2;Kos;Bekerja;NA;2009;Tangerang;UKM_3;Ya;7;FTI
Marvin Faulkner;Pria;61,2;60,2;79,5;84,8;65,1;70;66,3;86,1;71,5;65,6;Tidak;NA;Bekerja;Orang Tua;2009;Bogor;UKM_3;Tidak;5;DKV
Marvin Fowler;Wanita;68,7;65,1;61,9;71,2;61,3;85,1;80,6;81,9;71,8;63;Ekskul_6;Kos;Belum;NA;2008;Bekasi;UKM_1;Ya;4,5;FTI
Marvin Funnell;Pria;66,5;60,4;68,7;70,1;86,4;62;68,5;62,5;63,1;61;Ekskul_4;Orang Tua;Bekerja;Beasiswa;2007;Tangerang;UKM_2;Ya;7;FTI
Marvin Gallacher;Wanita;80,3;76,9;62,9;80,3;86,9;70,2;67,8;63,4;86,4;76,4;Ekskul_3;NA;Bekerja;Orang Tua;2009;Bogor;Tidak;Ya;6;FT
Marvin Glynn;Pria;78,2;76;66,1;63;79,1;60,8;72,1;78,8;81,8;62,7;Ekskul_3;Orang Tua;Belum;Orang Tua;2009;Tangerang;UKM_3;Tidak;4,5;FT
Marvin Hall;Pria;60,9;76,3;85,5;74,7;69,6;77,8;61,2;77,4;67,3;61,6;Tidak;NA;Belum;Orang Tua;2008;Bekasi;UKM_4;Tidak;4;DKV
Marvin Harrison;Pria;62,2;81,6;78;62,6;61,8;80,4;62;72,7;78,3;75,3;Tidak;Orang Tua;Belum;NA;2007;Tangerang;UKM_4;Tidak;4,5;FT
Marvin Hill;Pria;61,8;88,6;87,4;74;73,2;64,7;66,2;84,2;77,9;68,6;Ekskul_5;NA;Belum;NA;2009;Bekasi;UKM_1;Tidak;6;FISIP
Marvin Jacobs;Wanita;82,7;66,4;88,4;79,6;86;73,8;87,2;76,8;65,4;79,1;Ekskul_3;Kos;Belum;Orang Tua;2008;Bekasi;UKM_1;Tidak;4;FIKOM
Marvin Moran;Pria;71,6;84,5;77,6;81,7;74,4;78,8;87,3;73,7;78,9;65,9;Ekskul_4;Kos;Belum;Beasiswa;2008;Tangerang;UKM_3;Ya;7;FTI
Marvin Moreno;Pria;74,3;78,3;82,6;66,9;68,4;63,7;65,8;74,9;72;77,5;Ekskul_4;Orang Tua;Belum;Beasiswa;2009;Karawang;UKM_4;Tidak;5,5;FIKOM
Marvin Mullins;Pria;65,2;82,5;80,2;83,3;88,6;71,7;84,5;80,1;NA;61,5;Ekskul_2;NA;Belum;NA;2009;Tangerang;UKM_3;Tidak;7;FT
Marvin Plant;Pria;80,1;84,9;76,6;83,8;75,3;66,4;80,7;77,8;NA;78,4;Ekskul_6;Orang Tua;Belum;Beasiswa;2007;Tangerang;UKM_3;Ya;6;FISIP
Marvin Rixon;Pria;76,1;65,4;87;78,3;65,8;85,8;81,8;66;63,9;82,2;Ekskul_1;Kos;Belum;NA;2008;Bogor;UKM_1;Tidak;4,5;DKV
Marvin Rothwell;Pria;64,6;71,7;74,5;62;70,2;71,3;69,7;62,3;71,1;NA;Tidak;NA;Bekerja;Orang Tua;2008;Bogor;UKM_2;Ya;5;DKV
Marvin Santos;Pria;67,9;86,4;75,2;79,8;79,6;85,7;66,4;71,5;81,9;64,7;Ekskul_1;Kos;Bekerja;NA;2007;Bekasi;UKM_3;Tidak;7;DKV
Marvin Sheldon;Wanita;76;67,8;64,7;70,9;87,1;77,4;61,8;82,5;67,8;80,8;Ekskul_6;NA;Bekerja;NA;2009;Tangerang;Tidak;Ya;6;FTI
Marvin Stuart;Wanita;75,4;87,7;81,4;67,7;83;69,4;65;79,1;76,1;62,4;Tidak;NA;Belum;Beasiswa;2009;Tangerang;UKM_4;Ya;3,5;FT
Marvin Underhill;Wanita;69,2;78,2;67,1;83,5;86,4;65,5;70,1;83;73,6;73,2;Tidak;Kos;Bekerja;Orang Tua;2008;Bekasi;UKM_2;Ya;7;FISIP
Marvin Wheeler;Pria;81,1;80,8;70,1;71,3;71,6;68,3;65,6;81,3;60,7;88,4;Ekskul_2;Orang Tua;Bekerja;Orang Tua;2008;Bekasi;Tidak;Ya;7;FIKOM
Marvin Woods;Pria;80,8;79,4;84,1;60,1;63,1;76,9;83,8;66,1;80,4;72,4;Ekskul_3;NA;Belum;Orang Tua;2009;Serang;UKM_2;Ya;6,5;FTI
Mary Chapman;Pria;74,5;63,7;83;68,3;69,8;61,2;77,6;83,7;61,2;66,5;Ekskul_6;Orang Tua;Belum;Orang Tua;2007;Jakarta;UKM_4;Tidak;5,5;FT
Mary Chappell;Pria;86,9;80;86,1;84,8;88,6;84,8;70,8;69,1;86,3;80,6;Ekskul_1;Kos;Belum;NA;2009;Bekasi;UKM_3;Ya;4;FIKOM
Mary Collins;Wanita;61,2;82,5;87;64,2;74,3;86,7;69,4;76,1;64,6;88,3;Tidak;Kos;Belum;Beasiswa;2007;Jakarta;UKM_1;Tidak;4;DKV
Mary Fleming;Wanita;78,6;69,5;61,8;75,4;88,2;79;81,5;78,2;85,5;71,6;Tidak;Kos;Bekerja;NA;2007;Karawang;UKM_3;Tidak;3,5;FISIP
Mary Glass;Wanita;61,6;70,2;69,6;86,9;86,6;68,2;70,5;83,1;71;87,4;Ekskul_4;NA;Bekerja;Orang Tua;2008;Serang;Tidak;Ya;4,5;DKV
Mary Lane;Pria;64,4;74,8;72,1;85,6;84,5;70,8;83,5;71,5;65,9;81,7;Ekskul_5;Orang Tua;Belum;Beasiswa;2009;Bekasi;UKM_1;Tidak;3,5;FISIP
Mary Larkin;Pria;75,4;84,3;68;60,9;73,7;86,2;66,6;84,2;86,5;78,9;Ekskul_5;NA;Bekerja;Beasiswa;2008;Jakarta;UKM_2;Ya;6;DKV
Mary Lyon;Pria;71,7;62,9;65,8;70,3;73,4;71,2;82,3;74,6;77,2;77;Ekskul_2;NA;Belum;Beasiswa;2008;Bogor;UKM_3;Tidak;7;FIKOM
Mary Middleton;Pria;66,9;70,1;64,4;70,9;85,3;77;65,8;80,3;72,5;75,1;Ekskul_3;Orang Tua;Bekerja;Beasiswa;2007;Tangerang;UKM_1;Ya;4,5;FISIP
Mary Morris;Pria;67;73,5;88,2;86,4;76,9;73;78,7;84;84,3;71,2;Ekskul_5;Orang Tua;Bekerja;Beasiswa;2008;Bekasi;UKM_2;Ya;5,5;FT
Mary Reyes;Wanita;79,7;81,1;60,8;66,1;83,9;85,1;63,9;75;61,4;62,2;Ekskul_4;Kos;Bekerja;NA;2009;Tangerang;UKM_1;Ya;4,5;DKV
